comment,general_negative,general_neutral,general_positive,display_negative,display_neutral,display_positive,edit_negative,edit_neutral,edit_positive,feature_negative,feature_neutral,feature_positive,backup_negative,backup_neutral,backup_positive,update_negative,update_neutral,update_positive,stability_negative,stability_neutral,stability_positive,other_negative,other_neutral,other_positive
Không xoá được ảnh mà còn lưu trữ nhiều ảnh rác hơn,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"có thêm chế độ xem off line,cho thêm dung lượng",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tại sao không tải ảnh từ gg ảnh về điện thoại được. 😈😈😈😈,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tải ảnh về trên androi không được. Bị chuyển qua web,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
That hap dan va tien sdung nhung tiec ko sdung truc tuyen dc,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ứng dụng này rất tốt, khỏi lo bị mất ảnh, nhiều người chê ứng dụng này chẳng qua điện thoại của họ cấu hình yếu quá đó thôi chứ ứng dụng này tốt lắm, bổ sung mật khẩu để khóa album ảnh nữa là tuyệt vời.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rất thích nhưng cập nhập lên bản mới sao lưu chậm mà ko hiển thị hình ảnh đã sao lưu từ trước gì hết.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Cảm ơn rất nhiều từ nay k còn lo mấy ảnh nữa.  Lưu trữ,  cập nhật sao lưu tự động,  còn phụ tá thêm một số ứng dụng nữa.......very  good ****",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Muốn có chế độ mật khẩu khóa Ảnh trên máy để khi ngkhac câm may k xem đc ảnh,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OKE tốt , cần cải thiện thêm tính năng lưu được cả danh bạ nữa thì tuyệt vời",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tôi cảm ơn app này rất nhiều. Lúc trước có tải thử và lưu 1 vài tấm, nhưng không hiểu rõ nên chán rồi xóa. Thời gian sau thì bị mất điện thoại, mua điện thoại mới dùng được gần nữa năm rồi tự dưng thấy thông báo kỷ niệm gì đó, ấn vào thử thì thấy tất cả hình ảnh trước kia của mình. Tôi thật không ngờ, cảm ơn app.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ứng dụng hỗ trợ lưu trữ người dùng tuyệt vời.không còn lo mất ảnh và tài liệu khi thay máy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mở rộng không gian lưu trữ trên đám mây là điều tôi thích ở ứng dụng này,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rất hữu ích. Ip của mình có 16g. Gửi gắm lên đây là ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Chế độ tự cập nhật ảnh khi có wifi cần được nâng cấp, tự động cao hơn",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuyệt vời hơn... nơi lưu trữ dữ liệu lý tưởng.. kg sợ bị mất,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sao cap nhap pi h zo la bay ra rat tiet ảnh đa dừng la sao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Đáp ứng tốt nhu cầu sử dụng thông thường của người dùng.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nếu ad thêm tính năng khóa app thì tôi sẽ tặng 5*,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rất tiện, giúp mình lưu giữ những khoảnh khắc quý giá của cả gia đình.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rất tốt.Ứng dụng này như một bộ nhớ.tôi rất thích.tốt.tôi thích ứng dụng này 👍,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sao phiên bản này ko kết nối được với tivi vậy?,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Android 4.2.2 tải về ko sử dụng đc ad ơi chỉnh xog lưu nó bị thoát ra ngoài,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Khá tốt, tuy nhiên nên cung cấp chất lượng ảnh tải lên cao hơn tý nữa",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hay đấy nhưng hệ điều hành chạy hơi chấp cmt nhé anh,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cực kì hữu dụng. Đồng bộ giúp lưu trữ được ảnh, video... ngay cả khi mất đt",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sao chép lên thì ok...  nhug tải về đéo đc .. tức va giận,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"good. hình ảnh lưu trữ đc nhiều, ngày tháng rõ ràng!!!",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tuyệt lắm. Mình rất thích. Mong ad cố gắng cải thiện và nâng cao hơn nữa.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tại sao khi tải ảnh về thì lại ko thấy hiện ảnh ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ứng dụng kiểu gì mở ra là bị tắt. Ko xài dc luôn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Có ảnh ko thể lưu lại về máy. Mong ad   xem xét,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
không xoá đươc hình trên thẻ sd. trên android 5.11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rất tuyệt,rất có ít cho tui trong nhiều việc",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Không tự động chạy trên Redmi note 4 android 6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tập trung khả năng đồng bộ như hiện tại là rất tốt rồi, đừng mở rộng thêm kẻo làm nặng máy. Yếu tố gọn nhẹ cũng rất quan trọng. Thank!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cuối cùng cũng sửa cái lỗi video trên google photos, nhưng khi chơi một video trên máy thì vẫn còn lỗi khung hình bị chậm và giựt, cần khắc phục.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tôi thích ứng dụng này, mong các nhà phát triển liên tục cập nhật các bảo mật cần thiết ứng dụng. Xin cảm ởm",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuyệt vời cho lưu trữ, tạo ảnh ghép, nhanh, nhiều, hiệu quả. Nên có tính năng người dùng tự tạo video để kiểm soát các ảnh mong muốn.",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lưu trữ nhiều những kỷ niệm trong cuộc sống, rất hay các bạn nên tải về mà dùng",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thật tuyệt. Tôi chỉ cần vài cái nhấp chuột là đã có thể tìm lại những hình ảnh của mình từ vài năm trước.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tuyệt vời. Quá hữu ích và bạn không cần có bộ nhớ trong lớn mà vẫn lưu được quá nhiều ảnh,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Tại sao tôi bấm vào thì lại hiện lên thật không may, ảnh đã dừng?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dịch vụ lưu trữ rất tuyệt. Giúp giải phóng bộ nhớ và truy cập everywhere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rất thích ứng dụng này. Vì mọi hình ảnh video được tự động lưu lại,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ứng dụng hay, tiện ích, mình cảm thấy rất hài lòng 😉",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ứng dụng sao lưu hình ảnh rất tuyệt vời. Lưu trữ và tải về cải tiến rất tốt. Tất cả hoạt động nhanh, chính xác. Hệ thống chỉnh sửa hợp lý.,giúp chỉnh sửa ngay những hình ảnh chưa chuẩn. Cảm ơn nhà phát triển",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Rất hay có bay cao xa cũng hạ an toàn về sân đỗ!,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thêm đuoc khóa ung dung nua thi tot đe k cho ng la xem anh thi riêng tu hơn,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rất dễ thương. Thích khoản app tự tạo ảnh ghép hoặc vid ngẫu nhiên cho mình,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Giúp cho nhưng ảnh quan trọng không bị mất,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tôi rất thích ứng dụng này. Giúp tôi lưu được rất nhiều hình.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tôi rất thích google photo và dùng thường xuyên,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ứng dụng lưu trữ ảnh và video rất tốt và tiện lợi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Đáng để sử dụng cho những smartphone bộ nhớ thấp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thật tuyệt vời khi thấy những khoảnh khắc xưa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tốt. Nhưng còn chưa sao lưu ảnh nhanh chóng và hay bị trôi mất hình,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Rất tốt có thể các bạn đang cần đến app này đấy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chất lượng tốt .Thế nhưng cần mã hoá trang cá nhân. .,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sao lưu tự động, tiết kiệm dung lượng điện thoại. Tiện ích hữu dụng, mang đến những trải nghiệm thú vị :)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
:( sao em k có mục hoạt ảnh ạ :( em cập nhật pb rồi ạ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Duoc luu lai nhung anh chup that qua tot xin cam on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cho thêm dung lượng miễn phí thì hay quá,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Đỉnh của đỉnh. Mình rất thích chụp ảnh với quay video mà nhờ có Google Photo lưu trữ với sắp xếp giúp mình nên đỡ phải rối lên khi tìm với đỡ tốn tiền mua thẻ SD 😂😂😂,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Rất hay, nhờ có app này mà mình không sợ bị mất ảnh, ủa mà cho mình hỏi nếu đt trục trặc thì làm cách nào xem lại ảnh trong app này?",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Xem ảnh khi không có mạng thường hay bị lỗi: k hiện ảnh, ảnh mờ... mong sửa chỗ này để tiện hơn trong qua trình xem ảnh😀😀",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rất hay  mình rất thích vì nhờ có Google mình đỡ phải sắp xếp ảnh mà vẫn lưu lại được những kỉ niệm,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Ok cảm ơn Google photo giúp sắp xếp và lưa trữ hình ảnh và video clip rất tốt và dễ tìm kiếm,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Sao của mình cập nhật xong hư luôn, mở ra treo đứng luôn. Mình dùng obi SF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Dùng rất tốt. Mỗi tội chs xóa trong gg photo thì trong thư viện mất luôn ảnh. Còn đâu good. Định 4.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Phần thùng rác nên để không tự động xóa , lúc cần vào thùng rác thì không còn nữa .",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tại sao tải ảnh cũ về điện thoại lại không tải được, cứ báo lỗi tải không thành công?",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qua tuyet😉 .luu tru hinh anh qua da😄lai con nhieu tab nua,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No co the boc hinh cua B612 toi rat la thich va moi nguoi nho tai ve nhe !,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toi bị mất hết hai ngàn mấy ảnh rồi bắt đền ad đó huhu hai ngàn mấy ảnh của tôi 😭😭😭😭,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Rất hay, nhất là tính năng lưu trữ ảnh không giới hạn.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cần thêm chức năng khóa ứng dụng bằng mật khẩu tránh người khác vào xem được,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Những. Sáng tao của nhà sản xuất. Rất tốt! Nhưng công cu nè cho tôi cam nhận được sự sự khoảnh khắc từng bức ảnh đẹp từ Sony của tôi.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Đã bị mất 2 video vì tin tưởng app này. Lần đầu cách đây mấy tháng thì có thể do mình sơ ý sao lưu chưa xong. Nhưng lần thứ 2 mình đã cẩn thận chép video sang một thư mục khác rồi mới giải phóng bộ nhớ, nhưng kết quả là khi mình chọn xóa bản sao trong thiết bị thì mất hết cả hai video, cả trong máy ảnh và trong thư mục mình lưu, giờ trên đám mây cũng không có. Giờ không còn cách lấy lại được những thước phim quý giá đó nữa, rất buồn...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Một ứng dụng lưu giữ hình ảnh rất tốt để chia sẻ dành cho mọi người.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ung dung dung rat tot choviec luu tru hinh anh va video.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Có những cải tiến mang lại lợi ích cho người dùng.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nếu có thêm fần khôi fục lại hình ảnh thì tốt hơn,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rất tuyệt vời, dùng nửa năm rồi mà vẫn chưa tìm ra lý do để chê luôn. Chế độ đồng bộ ảnh rất hữu ích cho các máy có dung lượng bộ nhớ thấp. 5 sao nhé !",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Giúp mình lưu thữ đc nhiều hình ảnh, cần cải thiện thêm phần chỉnh sửa và tăng hiệu ứng cho ảnh",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Có bộ chỉnh ảnh đẹp, lưu được rất nhiều ảnh ;)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nếu có thể cài mật khẩu cả ứng dụng hoặc có thể tạo riêng folder cài mật khẩu để bí mật 1 số hình thì hay.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mình hay chụp ảnh rất may nhờ có cái này lưu giúp tốt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thêm tính năng khóa ảnh (ẩn hiện) thì 100 điểm luôn.. :),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ứng dụng mang đến cho Dũng nhiều điều bất ngờ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Được ,sắc nét Hôm nay vào tải ảnh nhưng không được tại sao? Phản ảnh không phản hồi? Vậy ảnh của ai vậy ?",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rât tốt nhưng mh cũng chưa hiểu hết về ứng dụng,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
That tuyet voi Google da luu giu cho minh nhung tam hinh lam ky niem .cam on!,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Khá hay nhìu tiện ích nhưg lưu pphim ko duok,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rất hữu ích lưu trữ hình ảnh video mà không sợ đt bị lỗi hay mất,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ok! Lưu trữ được nhiều thay đổi máy vẫn vô tư ¡!,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hay lam anh cua toi bi mat da cap nhat lai het luon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Them chuc nang xoa hinh anh trùng lặp nua la ok.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
không làm đc video ghép nhạc đc  vào. toàn bị lỗi.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5***** Trên cả cái gọi là Tuyệt Vèo....... kakaka !,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tại sao phải dùng cái này khi đt luôn  có sẵn thư viện,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tất cả các hình ảnh được lưu trữ hoặc phục hồi. Hình ảnh mờ nhất là các van ban .không đoc được. Để phục vụ tốt nhất cho khách hàng nên xem lại và khắc phục điều chỉnh hình ảnh rõ nét hơn. Xin cảm ơn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
nhung hinh anh da duoc sao luu vao dù da xoa het ben dt nhug trog ung dung nay van con luu lai hinh anh. Ko so bi that lac anh.ung dung tot mn nen tai ve sai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Giúp tiết kiệm không gian lưu trữ cho máy, lưu giữ hình ảnh không sợ máy bị hỏng, mất vì dữ liệu đã được lưu trực tuyến. Lại có nhiều tính năng thông minh, chỉnh sửa ảnh tốt",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Máy minh ko lắp dc thẻ nhớ nên úng dụng này giúp mính giải phóng khá nhiu dung lượng của máy.  Cám ơn Google đã phát triên phần mêm này,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Sự kết hợp giữa các ảnh cần lưu trữ và không cần lưu trữ giữa các ứng dụng chưa rõ ràng trong cài đặt. Lẽ ra chỉ cần lưu những ảnh cần lưu thôi, khi người dùng đã tắt chế độ tự động. Phần cài đặt chưa khoa học đối với người mới sử dụng.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ứng dụng tốt, giúp giải phóng bộ nhớ cho đt, tự động sao lưu nhanh chóng, giao diện dễ sử dụng, chất lượng hình ảnh ko bị giảm đi khi tải lên.",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Tiết kiệm cho bộ nhớ máy , nhưng rất khó khăn khi ko có mạng trong lúc tới đâu có ko có wifi tấm hình mình lưu muốn coi lại thì ko đc",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1. Lúc đầu có album ảnh zalo trên điện thoại, cập nhật là mất luôn ảnh. 2. Muốn lưu ảnh facebook nhưng lại không lưu được, giống như kiểu mặc định không cho lưu.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Nó thống kê và sao lưu hình ảnh cho tôi, tôi ko biết đến khi nào google bắt đầu lấy phí chứ tôi rất vui vì mình được dùng 1 ứng dụng quá tốt",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Giúp cho mọi người tha hồ giữ lại những khoảng khắc, mà ko sợ bị chiếm dung lượng bộ nhớ. Thank you so much.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Xuất sắc lưu trữ ảnh theo sự kiện và thời gian tiện cho việc tìm kiếm. 1 ứng dụng không thể thiếu trong kỷ nguyên kỹ thuật số.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toi rat la hoan hao vi toi da dung hon 3-4nam nai roi nhung buc anh cũ muon tim lai co google photo rat xuat sac,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dùng thử, qua thời gian thấy hay, tiện, giúp giữ đc các bức ảnh dù có mất thiết bị, vẫn khg mất hình ảnh kỷ niệm,",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sao ảnh mình lưu trên Google phots tải về điện thoại toàn tải không thành công là như thế nào vậy?,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lưu trữ được hình ảnh và video giúp giảm bộ nhớ máy. Tiện lợi máy nào cũng có thể mở ra xem được.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bao nhiêu ảnh trc máy Note 3 của mình hỏng giờ đồng bộ lại thì có hết.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Giúp ích trong việc tạo không gian cho máy nhưng ứng dụng hay đơ và không sử dụng được.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Cần cải tiến để tiện dụng hơn.Ví dụ,cần chuyển ảnh lên kính ôtô để lúc nào cũng nhìn được ảnh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mình dùng lâu rồi . Thấy rất tiện lợi lưu mọi khoảnh khắc bạn có,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Good! Với người lớn tuổi khó hơn, cho giao diện đơn giản đi được không?",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"... Đề nghị tạo điều kiện thuận lợi để Xóa bỏ hình ảnh cho nhẹ máy, giảm khoảng chứa, ...",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Voi tk tren google toi co the xem va chia se tren nhieu thiet bi .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Moi ng nên tải về t rat thich ung dung nay hoan hao cho dt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
